_id,Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24,dhid,Latitude,Longitude
1,Keysborough,Mount Hira College,185 Perry Road,VIC,3173,17/09/2021,17/09/2021,8:10am - 3:45pm,Case attended venue,22/09/2021,22/09/2021,16:54:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,8:10:00,15:45:00,C5N3,-38.0112127,145.178307
2,Beveridge,Mandalay Early Learning Centre,2 Flagstone Lane,VIC,3753,13/09/2021,13/09/2021,7:00am - 6:00pm,Case attended venue,22/09/2021,22/09/2021,14:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",7:00:00,18:00:00,E3Z4,-37.4712949,144.9552893
3,Beveridge,Mandalay Early Learning Centre,2 Flagstone Lane,VIC,3753,14/09/2021,14/09/2021,7:00am - 6:00pm,Case attended venue,22/09/2021,22/09/2021,14:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",7:00:00,18:00:00,D6C4,-37.4712949,144.9552893
4,Beveridge,Mandalay Early Learning Centre,2 Flagstone Lane,VIC,3753,15/09/2021,15/09/2021,7:00am - 6:00pm,Case attended venue,22/09/2021,22/09/2021,14:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",7:00:00,18:00:00,A6E3,-37.4712949,144.9552893
5,Beveridge,Mandalay Early Learning Centre,2 Flagstone Lane,VIC,3753,16/09/2021,16/09/2021,7:00am - 6:00pm,Case attended venue,22/09/2021,22/09/2021,14:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",7:00:00,18:00:00,E8X5,-37.4712949,144.9552893
6,Beveridge,Mandalay Early Learning Centre,2 Flagstone Lane,VIC,3753,17/09/2021,17/09/2021,7:00am - 6:00pm,Case attended venue,22/09/2021,22/09/2021,14:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",7:00:00,18:00:00,D5W8,-37.4712949,144.9552893
7,Epping,Meadowglen Primary School,22-48 Meadow Glen Drive,VIC,3076,17/09/2021,17/09/2021,9:00am - 2:45pm,Case attended venue,22/09/2021,22/09/2021,14:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,9:00:00,14:45:00,D2M6,-37.6426924,145.0532369
8,Broadmeadows,Hume Central Secondary School Dimboola Road Campus,30-54 Dimboola Road,VIC,3047,15/09/2021,15/09/2021,8:00am - 3:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,22/09/2021,22/09/2021,14:44:30,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",8:00:00,15:30:00,E5P9,-37.679211,144.912757
9,Broadmeadows,Hume Central Secondary School Dimboola Road Campus,30-54 Dimboola Road,VIC,3047,14/09/2021,14/09/2021,8:00am - 3:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,22/09/2021,22/09/2021,14:44:29,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",8:00:00,15:30:00,D3K5,-37.679211,144.912757
10,Bundoora,"RMIT Bundoora, Building 201",289 McKimmies Road,VIC,3083,15/09/2021,15/09/2021,12:30pm - 4:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will contact them directly with this advice.,22/09/2021,22/09/2021,14:44:28,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:30:00,16:00:00,B7D4,-37.67738067,145.0538514
